type,price,position,capital,stop_loss,take_profit,reason,profit
buy,103641.83,0.06931716001275823,3592.0786570625423,100532.5751,109860.3398,signal,
close_long,103488.6,,10765.614502758875,,,signal,-10.62146842875466
buy,103334.86,0.06945455130217029,3588.538167586291,100234.8142,109534.9516,signal,
close_long,102899.99,,10735.410802034101,,,signal,-30.20370072477447
buy,103291.0,0.06928910103193309,3578.4702673447,100192.27,109488.46,signal,
close_long,103385.46,,10741.955850517577,,,signal,6.545048483476843
buy,103094.17,0.06946371361586258,3580.651950172526,100001.3449,109279.8202,signal,
close_long,102874.27,,10726.68077989345,,,signal,-15.275070624127776
buy,102994.95,0.0694317587408797,3575.5602599644817,99905.10149999999,109174.647,signal,
close_long,102784.17,,10712.045953786048,,,signal,-14.634826107402542
buy,102840.01,0.06944149430937142,3570.681984595348,99754.8097,109010.4106,signal,
close_long,102674.0,,10700.517971315749,,,signal,-11.527982470298387
buy,102457.12,0.06962599229359398,3566.8393237719156,99383.40639999999,108604.5472,signal,
